node.from.number,node.to.number,id,resistance.pu,reactance.pu,charging.susceptance.pu,ratingA,ratingB,ratingC,node.from.admittance.real.pu,node.from.admittance.imag.pu,node.to.admittance.real.pu,node.to.admittance.imag.pu,status,owner.number1,owner.fraction1,owner.number2,owner.fraction2,owner.number3,owner.fraction3,owner.number4,owner.fraction4,metered.end,length
106054,106063,1,0.0149544,0.0356172,0.00052,12,45,0,0,0,0,0,0,1,4.02,59,1,NA,NA,NA,NA,NA,NA
106054,106096,1,0,1e-04,0,12,45,0,0,0,0,0,1,1,0,59,1,NA,NA,NA,NA,NA,NA
106054,146012,1,0.13034,0.31024,0.00446,12,45,0,0,0,0,0,1,1,35,59,1,NA,NA,NA,NA,NA,NA
106054,146012,2,0.13034,0.31024,0.00446,12,45,0,0,0,0,0,1,1,35,59,1,NA,NA,NA,NA,NA,NA
106055,106056,1,0.00926,0.01347,0.00029,12,45,0,0,0,0,0,1,1,1.45,59,1,NA,NA,NA,NA,NA,NA
106055,106056,2,0.00926,0.01347,0.00029,12,45,0,0,0,0,0,1,1,1.45,59,1,NA,NA,NA,NA,NA,NA
106055,106095,1,0,1e-04,0,12,45,0,0,0,0,0,1,1,0,59,1,NA,NA,NA,NA,NA,NA
106055,106096,1,0.0075888,0.0180744,0.00027,12,45,0,0,0,0,0,0,2,2.04,59,1,NA,NA,NA,NA,NA,NA
106055,106096,2,0.0075888,0.0180744,0.00027,12,45,0,0,0,0,0,0,2,2.04,59,1,NA,NA,NA,NA,NA,NA
106056,106057,1,0.02009,0.02924,0.00063,12,45,0,0,0,0,0,1,1,3.14,59,1,NA,NA,NA,NA,NA,NA
106056,106058,1,0.0105276,0.0250738,0.00037,12,45,0,0,0,0,0,0,1,2.83,59,1,NA,NA,NA,NA,NA,NA
106056,106058,2,0.0105276,0.0250738,0.00037,12,45,0,0,0,0,0,0,1,2.83,59,1,NA,NA,NA,NA,NA,NA
106056,106090,1,0,1e-04,0,12,45,0,0,0,0,0,0,1,0,59,1,NA,NA,NA,NA,NA,NA
106056,106091,1,0.02346,0.05584,8e-04,12,45,0,0,0,0,0,1,1,0,59,1,NA,NA,NA,NA,NA,NA
106057,106066,1,0.0149,0.03546,0.00051,12,45,0,0,0,0,0,0,2,0,59,1,NA,NA,NA,NA,NA,NA
106057,106090,1,0.0116808,0.0278204,0.00041,12,45,0,0,0,0,0,1,2,3.14,59,1,NA,NA,NA,NA,NA,NA
106058,106059,1,0.02239,0.03259,7e-04,12,45,0,0,0,0,0,1,1,3.5,59,1,NA,NA,NA,NA,NA,NA
106058,106059,2,0.01302,0.03101,0.00046,12,45,0,0,0,0,0,0,1,3.5,59,1,NA,NA,NA,NA,NA,NA
106058,106091,1,0.0149,0.03546,0.00051,12,45,0,0,0,0,0,1,1,0,59,1,NA,NA,NA,NA,NA,NA
106059,106060,1,0.01488,0.03544,0.00052,12,45,0,0,0,0,0,1,1,4,59,1,NA,NA,NA,NA,NA,NA
106059,106060,2,0.02559,0.03725,8e-04,12,45,0,0,0,0,0,1,1,4,59,1,NA,NA,NA,NA,NA,NA
106059,106091,1,0,1e-04,0,12,45,0,0,0,0,0,1,1,0,59,1,NA,NA,NA,NA,NA,NA
106060,106091,2,0.01488,0.03544,0.00052,12,45,0,0,0,0,0,0,2,4,59,1,NA,NA,NA,NA,NA,NA
106090,106095,1,0.005394,0.012847,0.00019,12,45,0,0,0,0,0,1,2,1.45,59,1,NA,NA,NA,NA,NA,NA
106090,106095,2,0.005394,0.012847,0.00019,12,45,0,0,0,0,0,0,2,1.45,59,1,NA,NA,NA,NA,NA,NA
106096,146012,2,0.1674,0.3987,0.00585,12,45,0,0,0,0,0,0,1,45,59,1,NA,NA,NA,NA,NA,NA
111006,111140,1,0.03538,0.08421,0.0194,50,100,0,0,0,0,0,1,2,38,58,1,NA,NA,NA,NA,NA,NA
111006,111140,2,0.03538,0.08421,0.02,50,100,0,0,0,0,0,1,2,38,58,1,NA,NA,NA,NA,NA,NA
111006,181100,1,0.023275,0.0554,0.01275,70,100,0,0,0,0,0,1,1,25,58,1,NA,NA,NA,NA,NA,NA
111101,111108,1,0.06889,0.16398,0.03774,70,100,0,0,0,0,0,1,2,74,58,1,NA,NA,NA,NA,NA,NA
111101,111112,1,0.01136,0.02704,0.00622,70,100,0,0,0,0,0,1,2,12.2,58,1,NA,NA,NA,NA,NA,NA
111101,111115,1,0.03165,0.07534,0.01734,70,100,0,0,0,0,0,1,2,34,58,1,NA,NA,NA,NA,NA,NA
111101,111116,1,0.01117,0.02659,0.00612,70,100,0,0,0,0,0,1,2,12,58,1,NA,NA,NA,NA,NA,NA
111101,111130,1,0.00372,0.00886,0.00204,70,100,0,0,0,0,0,1,1,4,58,1,NA,NA,NA,NA,NA,NA
111101,111130,2,0.00372,0.00886,0.00204,70,100,0,0,0,0,0,1,1,4,58,1,NA,NA,NA,NA,NA,NA
111103,111104,2,0.01284,0.03057,0.00705,50,100,0,0,0,0,0,1,2,13.83,58,1,NA,NA,NA,NA,NA,NA
111103,111109,2,0.01798,0.0428,0.00987,50,100,0,0,0,0,0,1,1,19.35,58,1,NA,NA,NA,NA,NA,NA
111104,111105,1,0.0428,0.1019,0.0235,50,100,0,0,0,0,0,1,1,46,58,1,NA,NA,NA,NA,NA,NA
111105,111106,1,0.03538,0.08421,0.0938,50,100,0,0,0,0,0,1,1,38,58,1,NA,NA,NA,NA,NA,NA
111105,111106,2,0.03538,0.08421,0.0938,50,100,0,0,0,0,0,1,1,38,58,1,NA,NA,NA,NA,NA,NA
111105,111109,2,0.01198,0.02853,0.00658,50,100,0,0,0,0,0,1,2,12.9,58,1,NA,NA,NA,NA,NA,NA
111105,111146,1,0.00657,0.01564,0.0036,70,100,0,0,0,0,0,1,2,7.06,58,1,NA,NA,NA,NA,NA,NA
111105,111146,2,0.00657,0.01564,0.0036,70,100,0,0,0,0,0,1,2,7.06,58,1,NA,NA,NA,NA,NA,NA
111106,111117,1,0.00838,0.01997,0.00459,50,100,0,0,0,0,0,1,2,15,58,1,NA,NA,NA,NA,NA,NA
111106,111117,2,0.00838,0.01997,0.00459,50,100,0,0,0,0,0,1,2,15,58,1,NA,NA,NA,NA,NA,NA
111106,111118,1,0.0056,0.0133,0.0031,50,100,0,0,0,0,0,1,1,6,58,1,NA,NA,NA,NA,NA,NA
111106,111118,2,0.0056,0.0133,0.0031,50,100,0,0,0,0,0,1,1,6,58,1,NA,NA,NA,NA,NA,NA
111107,111119,1,0.0168,0.0399,0.0092,50,100,0,0,0,0,0,1,1,18.03,58,1,NA,NA,NA,NA,NA,NA
111107,111119,2,0.0168,0.0399,0.0092,50,100,0,0,0,0,0,1,1,18.03,58,1,NA,NA,NA,NA,NA,NA
111107,111127,1,0.00605,0.0144,0.00332,70,100,0,0,0,0,0,1,1,6.5,609,1,NA,NA,NA,NA,NA,NA
111107,111128,1,0.0121,0.02881,0.00663,70,100,0,0,0,0,0,1,2,13,58,1,NA,NA,NA,NA,NA,NA
111107,111128,2,0.0121,0.02881,0.00663,70,100,0,0,0,0,0,1,2,13,58,1,NA,NA,NA,NA,NA,NA
111107,111129,1,0.013,0.031,0.0071,50,100,0,0,0,0,0,1,1,13.96,58,1,NA,NA,NA,NA,NA,NA
111108,111115,1,0.03724,0.08864,0.0204,70,100,0,0,0,0,0,1,1,40,58,1,NA,NA,NA,NA,NA,NA
111108,111132,1,0.0233,0.0554,0.0127,50,100,0,0,0,0,0,1,1,25,58,1,NA,NA,NA,NA,NA,NA
111108,111144,1,0.0279,0.0665,0.0153,50,100,0,0,0,0,0,1,1,30,58,1,NA,NA,NA,NA,NA,NA
111110,181100,1,0.00483,0.02578,0.04438,100,100,0,0,0,0,0,1,2,31.25,3,1,NA,NA,NA,NA,NA,NA
111113,111123,1,0.0214,0.0509,0.0117,50,100,0,0,0,0,0,1,1,23,58,1,NA,NA,NA,NA,NA,NA
111114,111123,1,0.0279,0.0665,0.015,50,100,0,0,0,0,0,1,1,30,58,1,NA,NA,NA,NA,NA,NA
111117,111118,1,0.00512,0.01219,0.00281,70,100,0,0,0,0,0,1,2,5.5,58,1,NA,NA,NA,NA,NA,NA
111117,111118,2,0.00512,0.01219,0.00281,70,100,0,0,0,0,0,1,2,5.5,58,1,NA,NA,NA,NA,NA,NA
111117,111119,1,0.0093,0.0222,0.0051,50,100,0,0,0,0,0,1,1,10,58,1,NA,NA,NA,NA,NA,NA
111117,111119,2,0.0093,0.0222,0.0051,50,100,0,0,0,0,0,1,1,10,58,1,NA,NA,NA,NA,NA,NA
111117,111128,1,0.00512,0.01219,0.00281,70,100,0,0,0,0,0,1,1,5.5,58,1,NA,NA,NA,NA,NA,NA
111118,111120,1,0.00838,0.01994,0.00459,50,100,0,0,0,0,0,1,1,9,58,1,NA,NA,NA,NA,NA,NA
